mes,count,sum,mean
2024-11,186,13,0.06989247311827956
2024-12,1216,74,0.06085526315789474
2025-01,1917,86,0.044861763171622326
2025-02,1094,64,0.05850091407678245
2025-03,1115,57,0.051121076233183856
2025-04,1102,69,0.06261343012704174
2025-05,1083,47,0.04339796860572484
2025-06,665,25,0.03759398496240601
2025-07,644,20,0.031055900621118012
2025-08,555,20,0.036036036036036036
2025-09,361,7,0.019390581717451522
2025-10,231,4,0.017316017316017316
2025-11,166,7,0.04216867469879518
2025-12,174,3,0.017241379310344827
2026-01,127,7,0.05511811023622047
2026-02,76,5,0.06578947368421052
2026-03,40,2,0.05
2026-04,11,1,0.09090909090909091
